>>> Training starts at  2024-11-24 02:52:54.050172
Filling replay buffer...
Training...
tensor(7.1847, grad_fn=<MseLossBackward0>)
tensor(19.0481, grad_fn=<MseLossBackward0>)
tensor(172.1727, grad_fn=<MseLossBackward0>)
tensor(312.0547, grad_fn=<MseLossBackward0>)
tensor(10.9078, grad_fn=<MseLossBackward0>)
tensor(71.2103, grad_fn=<MseLossBackward0>)
tensor(164.6809, grad_fn=<MseLossBackward0>)
tensor(179.7652, grad_fn=<MseLossBackward0>)
tensor(3.9158, grad_fn=<MseLossBackward0>)
tensor(6.2235, grad_fn=<MseLossBackward0>)
tensor(315.5254, grad_fn=<MseLossBackward0>)
tensor(7.8102, grad_fn=<MseLossBackward0>)
tensor(158.1858, grad_fn=<MseLossBackward0>)
tensor(12.9057, grad_fn=<MseLossBackward0>)
tensor(127.7511, grad_fn=<MseLossBackward0>)
tensor(159.7620, grad_fn=<MseLossBackward0>)
tensor(5.1098, grad_fn=<MseLossBackward0>)
tensor(4.4977, grad_fn=<MseLossBackward0>)
tensor(191.2439, grad_fn=<MseLossBackward0>)
tensor(157.6274, grad_fn=<MseLossBackward0>)
tensor(6.8537, grad_fn=<MseLossBackward0>)
tensor(7.6702, grad_fn=<MseLossBackward0>)
tensor(71.9709, grad_fn=<MseLossBackward0>)
tensor(10.6375, grad_fn=<MseLossBackward0>)
tensor(5.9721, grad_fn=<MseLossBackward0>)
tensor(10.4402, grad_fn=<MseLossBackward0>)
tensor(311.9462, grad_fn=<MseLossBackward0>)
tensor(5.6855, grad_fn=<MseLossBackward0>)
tensor(14.6578, grad_fn=<MseLossBackward0>)
tensor(157.8808, grad_fn=<MseLossBackward0>)
tensor(2.3190, grad_fn=<MseLossBackward0>)
tensor(185.2253, grad_fn=<MseLossBackward0>)
tensor(3.0012, grad_fn=<MseLossBackward0>)
tensor(5.5442, grad_fn=<MseLossBackward0>)
tensor(309.3563, grad_fn=<MseLossBackward0>)
tensor(33.0218, grad_fn=<MseLossBackward0>)
tensor(126.4520, grad_fn=<MseLossBackward0>)
tensor(464.4526, grad_fn=<MseLossBackward0>)
tensor(7.3804, grad_fn=<MseLossBackward0>)
Episode 1 Mean Rewards -128.84 Epsilon 0.99		tensor(183.5949, grad_fn=<MseLossBackward0>)
/home/martina/.local/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:3904: RuntimeWarning: Mean of empty slice.
  return _methods._mean(a, axis=axis, dtype=dtype,
/home/martina/.local/lib/python3.10/site-packages/numpy/_core/_methods.py:147: RuntimeWarning: invalid value encountered in scalar divide
  ret = ret.dtype.type(ret / rcount)
tensor(5.0216, grad_fn=<MseLossBackward0>)
tensor(153.2732, grad_fn=<MseLossBackward0>)
tensor(4.8527, grad_fn=<MseLossBackward0>)
tensor(7.4556, grad_fn=<MseLossBackward0>)
tensor(36.4567, grad_fn=<MseLossBackward0>)
tensor(156.1903, grad_fn=<MseLossBackward0>)
tensor(158.9061, grad_fn=<MseLossBackward0>)
tensor(467.0401, grad_fn=<MseLossBackward0>)
tensor(10.3208, grad_fn=<MseLossBackward0>)
tensor(7.7374, grad_fn=<MseLossBackward0>)
tensor(348.1524, grad_fn=<MseLossBackward0>)
tensor(2.3254, grad_fn=<MseLossBackward0>)
tensor(155.0438, grad_fn=<MseLossBackward0>)
tensor(17.3849, grad_fn=<MseLossBackward0>)
tensor(159.0566, grad_fn=<MseLossBackward0>)
tensor(4.6999, grad_fn=<MseLossBackward0>)
tensor(4.5711, grad_fn=<MseLossBackward0>)
tensor(47.5944, grad_fn=<MseLossBackward0>)
tensor(170.6045, grad_fn=<MseLossBackward0>)
tensor(14.7503, grad_fn=<MseLossBackward0>)
tensor(4.3255, grad_fn=<MseLossBackward0>)
tensor(177.8773, grad_fn=<MseLossBackward0>)
tensor(3.8752, grad_fn=<MseLossBackward0>)
tensor(160.7431, grad_fn=<MseLossBackward0>)
tensor(2.7053, grad_fn=<MseLossBackward0>)
tensor(342.0329, grad_fn=<MseLossBackward0>)
tensor(454.0634, grad_fn=<MseLossBackward0>)
tensor(3.7466, grad_fn=<MseLossBackward0>)
tensor(3.4266, grad_fn=<MseLossBackward0>)
tensor(148.8123, grad_fn=<MseLossBackward0>)
tensor(152.4457, grad_fn=<MseLossBackward0>)
tensor(11.5889, grad_fn=<MseLossBackward0>)
tensor(4.6202, grad_fn=<MseLossBackward0>)
tensor(13.3442, grad_fn=<MseLossBackward0>)
tensor(6.3441, grad_fn=<MseLossBackward0>)
tensor(2.5041, grad_fn=<MseLossBackward0>)
tensor(302.7490, grad_fn=<MseLossBackward0>)
tensor(154.9580, grad_fn=<MseLossBackward0>)
tensor(39.5985, grad_fn=<MseLossBackward0>)
tensor(154.5514, grad_fn=<MseLossBackward0>)
tensor(157.6536, grad_fn=<MseLossBackward0>)
tensor(307.4431, grad_fn=<MseLossBackward0>)
tensor(158.0888, grad_fn=<MseLossBackward0>)
tensor(171.3085, grad_fn=<MseLossBackward0>)
tensor(145.4568, grad_fn=<MseLossBackward0>)
tensor(382.3849, grad_fn=<MseLossBackward0>)
tensor(152.0287, grad_fn=<MseLossBackward0>)
tensor(53.8515, grad_fn=<MseLossBackward0>)
tensor(152.6482, grad_fn=<MseLossBackward0>)
tensor(408.8048, grad_fn=<MseLossBackward0>)
tensor(295.3182, grad_fn=<MseLossBackward0>)
tensor(221.8641, grad_fn=<MseLossBackward0>)
tensor(166.6015, grad_fn=<MseLossBackward0>)
tensor(584.5559, grad_fn=<MseLossBackward0>)
tensor(186.4286, grad_fn=<MseLossBackward0>)
tensor(164.0374, grad_fn=<MseLossBackward0>)
tensor(8.3162, grad_fn=<MseLossBackward0>)
tensor(4.9124, grad_fn=<MseLossBackward0>)
tensor(17.2961, grad_fn=<MseLossBackward0>)
tensor(28.3520, grad_fn=<MseLossBackward0>)
tensor(303.3525, grad_fn=<MseLossBackward0>)
tensor(150.4574, grad_fn=<MseLossBackward0>)
tensor(5.2626, grad_fn=<MseLossBackward0>)
tensor(146.2041, grad_fn=<MseLossBackward0>)
tensor(152.5880, grad_fn=<MseLossBackward0>)
tensor(585.5568, grad_fn=<MseLossBackward0>)
tensor(470.9528, grad_fn=<MseLossBackward0>)
tensor(8.9773, grad_fn=<MseLossBackward0>)
tensor(4.9512, grad_fn=<MseLossBackward0>)
tensor(162.5512, grad_fn=<MseLossBackward0>)
tensor(150.4023, grad_fn=<MseLossBackward0>)
tensor(152.9057, grad_fn=<MseLossBackward0>)
tensor(155.6964, grad_fn=<MseLossBackward0>)
tensor(156.9219, grad_fn=<MseLossBackward0>)
tensor(203.2907, grad_fn=<MseLossBackward0>)
tensor(7.2331, grad_fn=<MseLossBackward0>)
tensor(4.4545, grad_fn=<MseLossBackward0>)
tensor(9.0628, grad_fn=<MseLossBackward0>)
tensor(291.7430, grad_fn=<MseLossBackward0>)
tensor(142.2457, grad_fn=<MseLossBackward0>)
tensor(291.0699, grad_fn=<MseLossBackward0>)
tensor(159.0644, grad_fn=<MseLossBackward0>)
tensor(152.3819, grad_fn=<MseLossBackward0>)
tensor(450.6400, grad_fn=<MseLossBackward0>)
Episode 2 Mean Rewards -128.04 Epsilon 0.98505		tensor(153.9543, grad_fn=<MseLossBackward0>)
tensor(10.0217, grad_fn=<MseLossBackward0>)
tensor(148.6140, grad_fn=<MseLossBackward0>)
tensor(35.5812, grad_fn=<MseLossBackward0>)
tensor(6.0504, grad_fn=<MseLossBackward0>)
tensor(151.9229, grad_fn=<MseLossBackward0>)
tensor(298.8848, grad_fn=<MseLossBackward0>)
tensor(297.3750, grad_fn=<MseLossBackward0>)
tensor(9.3003, grad_fn=<MseLossBackward0>)
tensor(153.2079, grad_fn=<MseLossBackward0>)
tensor(14.8316, grad_fn=<MseLossBackward0>)
tensor(139.2347, grad_fn=<MseLossBackward0>)
tensor(152.3148, grad_fn=<MseLossBackward0>)
tensor(289.9836, grad_fn=<MseLossBackward0>)
tensor(144.3910, grad_fn=<MseLossBackward0>)
tensor(154.7354, grad_fn=<MseLossBackward0>)
tensor(5.7991, grad_fn=<MseLossBackward0>)
tensor(279.1017, grad_fn=<MseLossBackward0>)
tensor(4.2060, grad_fn=<MseLossBackward0>)
tensor(189.1616, grad_fn=<MseLossBackward0>)
tensor(10.5758, grad_fn=<MseLossBackward0>)
tensor(6.5760, grad_fn=<MseLossBackward0>)
tensor(5.2084, grad_fn=<MseLossBackward0>)
tensor(136.9493, grad_fn=<MseLossBackward0>)
tensor(8.3294, grad_fn=<MseLossBackward0>)
tensor(141.7767, grad_fn=<MseLossBackward0>)
tensor(268.8978, grad_fn=<MseLossBackward0>)
tensor(8.4522, grad_fn=<MseLossBackward0>)
tensor(4.3805, grad_fn=<MseLossBackward0>)
tensor(8.0194, grad_fn=<MseLossBackward0>)
tensor(10.6383, grad_fn=<MseLossBackward0>)
tensor(170.1915, grad_fn=<MseLossBackward0>)
tensor(155.7756, grad_fn=<MseLossBackward0>)
tensor(366.9477, grad_fn=<MseLossBackward0>)
tensor(122.2489, grad_fn=<MseLossBackward0>)
tensor(6.9916, grad_fn=<MseLossBackward0>)
tensor(158.7391, grad_fn=<MseLossBackward0>)
tensor(14.9766, grad_fn=<MseLossBackward0>)
tensor(4.0030, grad_fn=<MseLossBackward0>)
tensor(9.0151, grad_fn=<MseLossBackward0>)
tensor(6.1687, grad_fn=<MseLossBackward0>)
tensor(6.5140, grad_fn=<MseLossBackward0>)
tensor(142.5137, grad_fn=<MseLossBackward0>)
tensor(116.9261, grad_fn=<MseLossBackward0>)
tensor(7.9921, grad_fn=<MseLossBackward0>)
tensor(6.3424, grad_fn=<MseLossBackward0>)
tensor(139.7449, grad_fn=<MseLossBackward0>)
tensor(139.8367, grad_fn=<MseLossBackward0>)
tensor(219.1064, grad_fn=<MseLossBackward0>)
tensor(5.2102, grad_fn=<MseLossBackward0>)
tensor(6.5243, grad_fn=<MseLossBackward0>)
tensor(154.3634, grad_fn=<MseLossBackward0>)
tensor(9.2183, grad_fn=<MseLossBackward0>)
tensor(10.8226, grad_fn=<MseLossBackward0>)
tensor(17.9152, grad_fn=<MseLossBackward0>)
tensor(4.8096, grad_fn=<MseLossBackward0>)
tensor(149.8453, grad_fn=<MseLossBackward0>)
tensor(148.5024, grad_fn=<MseLossBackward0>)
tensor(139.8665, grad_fn=<MseLossBackward0>)
tensor(5.6543, grad_fn=<MseLossBackward0>)
tensor(7.6037, grad_fn=<MseLossBackward0>)
tensor(7.4044, grad_fn=<MseLossBackward0>)
tensor(151.6287, grad_fn=<MseLossBackward0>)
tensor(291.0410, grad_fn=<MseLossBackward0>)
tensor(10.2156, grad_fn=<MseLossBackward0>)
tensor(425.2392, grad_fn=<MseLossBackward0>)
tensor(11.1827, grad_fn=<MseLossBackward0>)
tensor(4.8599, grad_fn=<MseLossBackward0>)
tensor(303.8840, grad_fn=<MseLossBackward0>)
tensor(3.2108, grad_fn=<MseLossBackward0>)
tensor(290.4427, grad_fn=<MseLossBackward0>)
tensor(346.5137, grad_fn=<MseLossBackward0>)
tensor(6.4714, grad_fn=<MseLossBackward0>)
tensor(23.1857, grad_fn=<MseLossBackward0>)
tensor(18.1195, grad_fn=<MseLossBackward0>)
tensor(147.0852, grad_fn=<MseLossBackward0>)
tensor(142.8194, grad_fn=<MseLossBackward0>)
tensor(13.6261, grad_fn=<MseLossBackward0>)
tensor(127.4878, grad_fn=<MseLossBackward0>)
tensor(407.1001, grad_fn=<MseLossBackward0>)
tensor(137.1235, grad_fn=<MseLossBackward0>)
tensor(285.2631, grad_fn=<MseLossBackward0>)
tensor(7.4640, grad_fn=<MseLossBackward0>)
tensor(11.3288, grad_fn=<MseLossBackward0>)
tensor(140.9178, grad_fn=<MseLossBackward0>)
tensor(110.8208, grad_fn=<MseLossBackward0>)
tensor(73.7249, grad_fn=<MseLossBackward0>)
tensor(55.2615, grad_fn=<MseLossBackward0>)
tensor(10.0162, grad_fn=<MseLossBackward0>)
tensor(146.0622, grad_fn=<MseLossBackward0>)
tensor(7.3966, grad_fn=<MseLossBackward0>)
tensor(159.6141, grad_fn=<MseLossBackward0>)
tensor(3.9321, grad_fn=<MseLossBackward0>)
tensor(5.7143, grad_fn=<MseLossBackward0>)
tensor(152.0284, grad_fn=<MseLossBackward0>)
tensor(139.0961, grad_fn=<MseLossBackward0>)
tensor(5.8820, grad_fn=<MseLossBackward0>)
tensor(282.4405, grad_fn=<MseLossBackward0>)
tensor(151.4438, grad_fn=<MseLossBackward0>)
tensor(115.5434, grad_fn=<MseLossBackward0>)
tensor(281.6731, grad_fn=<MseLossBackward0>)
tensor(5.5191, grad_fn=<MseLossBackward0>)
tensor(229.6670, grad_fn=<MseLossBackward0>)
tensor(8.1786, grad_fn=<MseLossBackward0>)
tensor(38.0929, grad_fn=<MseLossBackward0>)
tensor(7.7291, grad_fn=<MseLossBackward0>)
tensor(106.4028, grad_fn=<MseLossBackward0>)
tensor(14.2756, grad_fn=<MseLossBackward0>)
tensor(156.9731, grad_fn=<MseLossBackward0>)
tensor(148.7718, grad_fn=<MseLossBackward0>)
tensor(222.6023, grad_fn=<MseLossBackward0>)
tensor(13.7163, grad_fn=<MseLossBackward0>)
tensor(349.3532, grad_fn=<MseLossBackward0>)
tensor(7.7166, grad_fn=<MseLossBackward0>)
tensor(274.5585, grad_fn=<MseLossBackward0>)
tensor(145.2306, grad_fn=<MseLossBackward0>)
tensor(286.3200, grad_fn=<MseLossBackward0>)
tensor(4.1377, grad_fn=<MseLossBackward0>)
tensor(63.8788, grad_fn=<MseLossBackward0>)
tensor(164.5809, grad_fn=<MseLossBackward0>)
tensor(422.3072, grad_fn=<MseLossBackward0>)
tensor(91.8375, grad_fn=<MseLossBackward0>)
tensor(140.8466, grad_fn=<MseLossBackward0>)
tensor(10.5601, grad_fn=<MseLossBackward0>)
tensor(18.0692, grad_fn=<MseLossBackward0>)
tensor(5.7990, grad_fn=<MseLossBackward0>)
Episode 3 Mean Rewards -216.29 Epsilon 0.98012475		tensor(9.6962, grad_fn=<MseLossBackward0>)
tensor(28.4328, grad_fn=<MseLossBackward0>)
tensor(238.0985, grad_fn=<MseLossBackward0>)
tensor(146.3890, grad_fn=<MseLossBackward0>)
tensor(280.8904, grad_fn=<MseLossBackward0>)
tensor(11.2913, grad_fn=<MseLossBackward0>)
tensor(256.8772, grad_fn=<MseLossBackward0>)
tensor(4.1403, grad_fn=<MseLossBackward0>)
tensor(269.0976, grad_fn=<MseLossBackward0>)
tensor(133.3908, grad_fn=<MseLossBackward0>)
tensor(262.6289, grad_fn=<MseLossBackward0>)
tensor(275.6169, grad_fn=<MseLossBackward0>)
tensor(139.1423, grad_fn=<MseLossBackward0>)
tensor(4.4732, grad_fn=<MseLossBackward0>)
tensor(238.3680, grad_fn=<MseLossBackward0>)
tensor(217.0148, grad_fn=<MseLossBackward0>)
tensor(145.3700, grad_fn=<MseLossBackward0>)
tensor(3.3939, grad_fn=<MseLossBackward0>)
tensor(260.7913, grad_fn=<MseLossBackward0>)
tensor(6.1031, grad_fn=<MseLossBackward0>)
tensor(152.9770, grad_fn=<MseLossBackward0>)
tensor(140.3770, grad_fn=<MseLossBackward0>)
tensor(265.2059, grad_fn=<MseLossBackward0>)
tensor(259.5611, grad_fn=<MseLossBackward0>)
tensor(117.6898, grad_fn=<MseLossBackward0>)
tensor(140.9329, grad_fn=<MseLossBackward0>)
tensor(4.9725, grad_fn=<MseLossBackward0>)
tensor(126.5419, grad_fn=<MseLossBackward0>)
tensor(243.8881, grad_fn=<MseLossBackward0>)
tensor(247.6982, grad_fn=<MseLossBackward0>)
tensor(131.8810, grad_fn=<MseLossBackward0>)
tensor(5.2317, grad_fn=<MseLossBackward0>)
tensor(4.6421, grad_fn=<MseLossBackward0>)
tensor(127.7531, grad_fn=<MseLossBackward0>)
tensor(3.9340, grad_fn=<MseLossBackward0>)
tensor(6.5562, grad_fn=<MseLossBackward0>)
tensor(169.9733, grad_fn=<MseLossBackward0>)
tensor(123.7921, grad_fn=<MseLossBackward0>)
tensor(9.6641, grad_fn=<MseLossBackward0>)
tensor(121.6398, grad_fn=<MseLossBackward0>)
tensor(143.8695, grad_fn=<MseLossBackward0>)
tensor(12.4641, grad_fn=<MseLossBackward0>)
tensor(34.2178, grad_fn=<MseLossBackward0>)
tensor(3.4261, grad_fn=<MseLossBackward0>)
tensor(6.5609, grad_fn=<MseLossBackward0>)
tensor(96.1198, grad_fn=<MseLossBackward0>)
tensor(100.8401, grad_fn=<MseLossBackward0>)
tensor(239.8207, grad_fn=<MseLossBackward0>)
tensor(359.1823, grad_fn=<MseLossBackward0>)
tensor(14.3148, grad_fn=<MseLossBackward0>)
tensor(247.9066, grad_fn=<MseLossBackward0>)
tensor(7.5851, grad_fn=<MseLossBackward0>)
tensor(318.3312, grad_fn=<MseLossBackward0>)
tensor(14.6585, grad_fn=<MseLossBackward0>)
tensor(131.1443, grad_fn=<MseLossBackward0>)
tensor(359.1329, grad_fn=<MseLossBackward0>)
tensor(139.8849, grad_fn=<MseLossBackward0>)
Episode 4 Mean Rewards -182.93 Epsilon 0.97522412625		tensor(381.9688, grad_fn=<MseLossBackward0>)
tensor(5.0224, grad_fn=<MseLossBackward0>)
tensor(6.3703, grad_fn=<MseLossBackward0>)
tensor(15.8294, grad_fn=<MseLossBackward0>)
tensor(241.1628, grad_fn=<MseLossBackward0>)
tensor(10.7146, grad_fn=<MseLossBackward0>)
tensor(123.3196, grad_fn=<MseLossBackward0>)
tensor(203.7088, grad_fn=<MseLossBackward0>)
tensor(6.9330, grad_fn=<MseLossBackward0>)
tensor(125.0796, grad_fn=<MseLossBackward0>)
tensor(112.2660, grad_fn=<MseLossBackward0>)
tensor(436.8380, grad_fn=<MseLossBackward0>)
tensor(6.5296, grad_fn=<MseLossBackward0>)
tensor(6.9840, grad_fn=<MseLossBackward0>)
tensor(91.9707, grad_fn=<MseLossBackward0>)
tensor(47.2139, grad_fn=<MseLossBackward0>)
tensor(10.4337, grad_fn=<MseLossBackward0>)
tensor(80.6723, grad_fn=<MseLossBackward0>)
tensor(13.4575, grad_fn=<MseLossBackward0>)
tensor(123.3224, grad_fn=<MseLossBackward0>)
tensor(131.4242, grad_fn=<MseLossBackward0>)
tensor(116.0124, grad_fn=<MseLossBackward0>)
tensor(338.2191, grad_fn=<MseLossBackward0>)
tensor(30.7000, grad_fn=<MseLossBackward0>)
tensor(6.7742, grad_fn=<MseLossBackward0>)
tensor(134.3560, grad_fn=<MseLossBackward0>)
tensor(261.0826, grad_fn=<MseLossBackward0>)
tensor(12.2869, grad_fn=<MseLossBackward0>)
tensor(134.3947, grad_fn=<MseLossBackward0>)
tensor(8.4012, grad_fn=<MseLossBackward0>)
tensor(6.6163, grad_fn=<MseLossBackward0>)
tensor(6.2297, grad_fn=<MseLossBackward0>)
tensor(206.1052, grad_fn=<MseLossBackward0>)
tensor(13.8260, grad_fn=<MseLossBackward0>)
tensor(254.4713, grad_fn=<MseLossBackward0>)
tensor(9.3947, grad_fn=<MseLossBackward0>)
tensor(132.0614, grad_fn=<MseLossBackward0>)
tensor(15.0586, grad_fn=<MseLossBackward0>)
tensor(132.6585, grad_fn=<MseLossBackward0>)
tensor(263.8796, grad_fn=<MseLossBackward0>)
tensor(13.6481, grad_fn=<MseLossBackward0>)
tensor(7.9112, grad_fn=<MseLossBackward0>)
tensor(14.7312, grad_fn=<MseLossBackward0>)
tensor(8.7788, grad_fn=<MseLossBackward0>)
tensor(88.8589, grad_fn=<MseLossBackward0>)
tensor(126.7153, grad_fn=<MseLossBackward0>)
tensor(13.6692, grad_fn=<MseLossBackward0>)
tensor(3.5208, grad_fn=<MseLossBackward0>)
tensor(4.8207, grad_fn=<MseLossBackward0>)
tensor(79.8304, grad_fn=<MseLossBackward0>)
tensor(6.5306, grad_fn=<MseLossBackward0>)
tensor(8.3171, grad_fn=<MseLossBackward0>)
tensor(17.2446, grad_fn=<MseLossBackward0>)
tensor(189.1348, grad_fn=<MseLossBackward0>)
tensor(221.3440, grad_fn=<MseLossBackward0>)
tensor(327.4864, grad_fn=<MseLossBackward0>)
tensor(10.4845, grad_fn=<MseLossBackward0>)
tensor(38.1601, grad_fn=<MseLossBackward0>)
tensor(216.8521, grad_fn=<MseLossBackward0>)
tensor(112.2133, grad_fn=<MseLossBackward0>)
tensor(12.3129, grad_fn=<MseLossBackward0>)
tensor(13.7137, grad_fn=<MseLossBackward0>)
tensor(270.4460, grad_fn=<MseLossBackward0>)
tensor(13.3921, grad_fn=<MseLossBackward0>)
tensor(17.8285, grad_fn=<MseLossBackward0>)
tensor(113.0711, grad_fn=<MseLossBackward0>)
tensor(34.8548, grad_fn=<MseLossBackward0>)
tensor(27.3348, grad_fn=<MseLossBackward0>)
tensor(294.8928, grad_fn=<MseLossBackward0>)
tensor(11.5914, grad_fn=<MseLossBackward0>)
tensor(137.8313, grad_fn=<MseLossBackward0>)
tensor(49.2187, grad_fn=<MseLossBackward0>)
tensor(137.4676, grad_fn=<MseLossBackward0>)
tensor(5.7677, grad_fn=<MseLossBackward0>)
tensor(284.1482, grad_fn=<MseLossBackward0>)
tensor(10.2299, grad_fn=<MseLossBackward0>)
tensor(251.3891, grad_fn=<MseLossBackward0>)
tensor(181.3689, grad_fn=<MseLossBackward0>)
tensor(378.6656, grad_fn=<MseLossBackward0>)
tensor(133.5770, grad_fn=<MseLossBackward0>)
tensor(10.2798, grad_fn=<MseLossBackward0>)
tensor(262.0964, grad_fn=<MseLossBackward0>)
tensor(125.9121, grad_fn=<MseLossBackward0>)
tensor(210.7116, grad_fn=<MseLossBackward0>)
tensor(23.0137, grad_fn=<MseLossBackward0>)
tensor(18.7567, grad_fn=<MseLossBackward0>)
tensor(143.6346, grad_fn=<MseLossBackward0>)
tensor(78.5703, grad_fn=<MseLossBackward0>)
tensor(193.7861, grad_fn=<MseLossBackward0>)
tensor(116.8012, grad_fn=<MseLossBackward0>)
tensor(11.0977, grad_fn=<MseLossBackward0>)
tensor(252.4042, grad_fn=<MseLossBackward0>)
tensor(18.2788, grad_fn=<MseLossBackward0>)
tensor(13.0402, grad_fn=<MseLossBackward0>)
tensor(12.1178, grad_fn=<MseLossBackward0>)
tensor(8.7797, grad_fn=<MseLossBackward0>)
tensor(16.7406, grad_fn=<MseLossBackward0>)
tensor(17.7297, grad_fn=<MseLossBackward0>)
tensor(209.7044, grad_fn=<MseLossBackward0>)
tensor(66.1442, grad_fn=<MseLossBackward0>)
tensor(11.5353, grad_fn=<MseLossBackward0>)
tensor(18.9923, grad_fn=<MseLossBackward0>)
tensor(92.9989, grad_fn=<MseLossBackward0>)
tensor(170.7861, grad_fn=<MseLossBackward0>)
tensor(16.5289, grad_fn=<MseLossBackward0>)
tensor(21.8477, grad_fn=<MseLossBackward0>)
tensor(166.9883, grad_fn=<MseLossBackward0>)
tensor(17.6679, grad_fn=<MseLossBackward0>)
tensor(251.1791, grad_fn=<MseLossBackward0>)
tensor(5.3298, grad_fn=<MseLossBackward0>)
tensor(5.0710, grad_fn=<MseLossBackward0>)
tensor(10.0565, grad_fn=<MseLossBackward0>)
tensor(18.3064, grad_fn=<MseLossBackward0>)
tensor(275.9651, grad_fn=<MseLossBackward0>)
tensor(16.0827, grad_fn=<MseLossBackward0>)
tensor(137.5055, grad_fn=<MseLossBackward0>)
tensor(113.0503, grad_fn=<MseLossBackward0>)
tensor(109.6301, grad_fn=<MseLossBackward0>)
Episode 5 Mean Rewards -179.53 Epsilon 0.97034800561875		tensor(74.7993, grad_fn=<MseLossBackward0>)
tensor(16.4221, grad_fn=<MseLossBackward0>)
tensor(17.4320, grad_fn=<MseLossBackward0>)
tensor(130.9832, grad_fn=<MseLossBackward0>)
tensor(136.9518, grad_fn=<MseLossBackward0>)
tensor(4.8335, grad_fn=<MseLossBackward0>)
tensor(10.0361, grad_fn=<MseLossBackward0>)
tensor(133.4332, grad_fn=<MseLossBackward0>)
tensor(89.5966, grad_fn=<MseLossBackward0>)
tensor(102.7458, grad_fn=<MseLossBackward0>)
tensor(8.5973, grad_fn=<MseLossBackward0>)
tensor(309.4280, grad_fn=<MseLossBackward0>)
tensor(24.0340, grad_fn=<MseLossBackward0>)
tensor(163.6962, grad_fn=<MseLossBackward0>)
tensor(10.3373, grad_fn=<MseLossBackward0>)
tensor(297.8346, grad_fn=<MseLossBackward0>)
tensor(7.8271, grad_fn=<MseLossBackward0>)
tensor(31.8811, grad_fn=<MseLossBackward0>)
tensor(304.8931, grad_fn=<MseLossBackward0>)
tensor(58.8713, grad_fn=<MseLossBackward0>)
tensor(175.8510, grad_fn=<MseLossBackward0>)
tensor(290.3528, grad_fn=<MseLossBackward0>)
tensor(78.4012, grad_fn=<MseLossBackward0>)
tensor(12.1647, grad_fn=<MseLossBackward0>)
tensor(321.5282, grad_fn=<MseLossBackward0>)
tensor(2.4843, grad_fn=<MseLossBackward0>)
tensor(32.6818, grad_fn=<MseLossBackward0>)
tensor(104.9060, grad_fn=<MseLossBackward0>)
tensor(6.3981, grad_fn=<MseLossBackward0>)
tensor(255.7850, grad_fn=<MseLossBackward0>)
